product,md_one,md_two,md_three,md_four,md_five,new_srp
0371860-5,1000,0,0,0,,0
0371860-5NM,0,0,0,0,,0
0371861-5,1000,0,0,0,,0
0371861-5NM,0,0,0,0,,0
0371862-5,1000,0,0,0,,0
0371863-5,1000,0,0,0,,0
0371864-5,1000,0,0,0,,0
0371872-8,0,0,0,0,,1299
0371896-10,0,0,0,0,,0
0371897-10,0,0,0,0,,0
0371900-8,0,0,0,0,,1299
0371901-8,0,0,0,0,,1299
0371906-4,500,0,0,0,,0
0371914-6,0,0,0,0,,1499
0371919-9,0,0,0,0,,0
0372136-17,0,0,0,0,,0
0372138-13,0,0,0,0,,0
0372139-10,3000,0,0,0,,0
0372140-10,3000,0,0,0,,0
0372141-10,0,0,0,0,,0
0372185-6,0,0,0,0,,1799.75
0372212-2,0,0,0,0,,0
0372213-2,0,0,0,0,,0
0372220-6,0,0,0,0,,0
0372221-6,0,0,0,0,,0
0372262-8,0,0,0,0,,0
0372263-8,0,0,0,0,,0
0372269-7,1500,0,0,0,,0
0372271-7,1500,0,0,0,,0
0372277-10,0,0,0,0,,0
0372413-5,350,0,0,0,,0
0372414-5,0,0,0,0,,0
0372419-5,0,0,0,0,,0
0372420-5,0,0,0,0,,0
0372425-5B,0,0,0,0,,0
0372429-5,0,0,0,0,,0
0372430-5,0,0,0,0,,0
0372436-5,0,0,0,0,,0
0372439-5,0,0,0,0,,0
0372442-5,0,0,0,0,,0
0372445-5,500,0,0,0,,0
0372451-5,0,0,0,0,,0
0372456-5,0,0,0,0,,0
0372457-5,350,0,0,0,,0
0372466-5,0,0,0,0,,0
0372468-4,500,0,0,0,,0
0372488-4,0,0,0,0,,0
0372489-4,0,0,0,0,,0
0372490-4,0,0,0,0,,0
0372491-4,350,0,0,0,,0
0372494-4,0,0,0,0,,0
0372508-4,0,0,0,0,,0
0372509-4,500,0,0,0,,0
0372510-4,0,0,0,0,,0
0372514-4,0,0,0,0,,0
0372620-4,0,0,0,0,,0
0372621-4,0,0,0,0,,0
0372628-4,0,0,0,0,,0
0372629-4,600,0,0,0,,0
0372637-4,0,0,0,0,,0
0372642-5,0,0,0,0,,0
0372642-5B,0,0,0,0,,0
0372644-5,0,0,0,0,,0
0372647-5,0,0,0,0,,0
0372684-7,0,0,0,0,,0
0372684-7FG,0,0,0,0,,0
0372689-6,0,0,0,0,,1299
0372690-6,0,0,0,0,,1299
0372691-6,0,0,0,0,,1299
0372692-6,0,0,0,0,,1299
0372694-6,0,0,0,0,,1299
0372700-7FG,0,0,0,0,,0
0372701-7FG,0,0,0,0,,0
0372714-5,0,0,0,0,,0
0372722-10,0,0,0,0,,1799.75
0373040-8,0,0,0,0,,0
0373041-8,0,0,0,0,,0
0373042-8,0,0,0,0,,0
0373043-8,0,0,0,0,,0
