id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,M1909-35,OH Mall of Asia,OHMOA/Stock,4.00
,123435-12,OH Mall of Asia,OHMOA/Stock,1.00
,D20071-17,OH Mall of Asia,OHMOA/Stock,1.00
,M1909-29,OH Mall of Asia,OHMOA/Stock,1.00
,1322026-9,SMH Mall of Asia,SMHMO/Stock,1.00
,1323052-13,SMH Mall of Asia,SMHMO/Stock,1.00
,1322083-8,SMH Mall of Asia,SMHMO/Stock,2.00
,1324169-8,SMH Mall of Asia,SMHMO/Stock,2.00
,123402-7,SMH Mall of Asia,SMHMO/Stock,1.00
,124049-10,OH Clark,OHCLK/Stock,1.00
,124056-10,OH Clark,OHCLK/Stock,1.00
,124057-10,OH Clark,OHCLK/Stock,1.00
,1324141-15,OH Clark,OHCLK/Stock,1.00
,1324143-15,OH Clark,OHCLK/Stock,1.00
,1324146-15,OH Clark,OHCLK/Stock,1.00
,W21738-12,OH Megamall,OHMEG/Stock,1.00
,M1653-19,OH Fairview,OHFV/Stock,1.00
,1322070-10,SMH Lipa,SMHLI/Stock,1.00
,1322081-8,SMH Lipa,SMHLI/Stock,1.00
,W22122-12,SMH Cubao,SMHCU/Stock,2.00
,1123039-1,OH Batangas,OHBAT/Stock,1.00
,1324006-10,OH Batangas,OHBAT/Stock,1.00
,1324052-10,OH Batangas,OHBAT/Stock,1.00
,1324003-12,OH Batangas,OHBAT/Stock,1.00
,124088-10,OH Batangas,OHBAT/Stock,1.00
,124049-10,OH Batangas,OHBAT/Stock,1.00
,124056-10,OH Batangas,OHBAT/Stock,1.00
,1324141-15,OH Batangas,OHBAT/Stock,1.00
,C22003-3,OH Sta. Rosa,OHSTR/Stock,1.00
,1324146-15,OH Sta. Rosa,OHSTR/Stock,1.00
,1324006-10,OH Sta. Rosa,OHSTR/Stock,1.00
,124055-10,OH Sta. Rosa,OHSTR/Stock,1.00
,124088-10,OH Sta. Rosa,OHSTR/Stock,1.00
,124046-10,OH Sta. Rosa,OHSTR/Stock,1.00
,124049-10,OH Sta. Rosa,OHSTR/Stock,1.00
,124056-10,OH Sta. Rosa,OHSTR/Stock,1.00
,124057-10,OH Sta. Rosa,OHSTR/Stock,1.00
,D21035-20G,OH Sta. Rosa,OHSTR/Stock,1.00
,1324052-10,OH Lucena,OHLUC/Stock,1.00
,124057-10,OH Lucena,OHLUC/Stock,1.00
,123297-10,OH Lucena,OHLUC/Stock,1.00
,1324052-10,OH Pampanga,OHPAM/Stock,2.00
