id,Order Reference,Delivery Date,Product,Customer,Quantity,Unit Price,Description,Product Category,Weight,Salesperson,Type of Payment,Invoice Status,Order Status,Delivery Quantity,Barcode SKU,Subtotal,Variant SKU,Spatio Description
,SO 00376,6/15/2023 8:00,T16270-1,Rustan's FS Shangrila,1,599.75,T16270-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,599.75,T16270-1,
,SO 00376,6/15/2023 8:00,T16266-1,Rustan's FS Shangrila,2,350,T16266-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,700,T16266-1,
,SO 00375,6/15/2023 8:00,14223-1-304,Rustan's FS Makati,3,129.75,14223-1-304,Floral,,Inventory Audit,,Fully Invoiced,sale,3,,389.25,,
,SO 00375,6/15/2023 8:00,RR14205-1-304,Rustan's FS Makati,3,135,RR14205-1-304,Arrangement,,Inventory Audit,,Fully Invoiced,sale,3,,405,,
,SO 00375,6/15/2023 8:00,A1556-1,Rustan's FS Makati,7,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,7,,346.5,A1556-1,
,SO 00375,6/15/2023 8:00,T16270-1,Rustan's FS Makati,2,599.75,T16270-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,199.50",T16270-1,
,SO 00375,6/15/2023 8:00,T16271-1,Rustan's FS Makati,1,600,T16271-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,600,T16271-1,
,SO 00375,6/15/2023 8:00,A1556-1,Rustan's FS Makati,12,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,12,,594,A1556-1,
,SO 00375,6/15/2023 8:00,T1920-1,Rustan's FS Makati,5,399.75,T1920-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,998.75",T1920-1,
,SO 00375,6/15/2023 8:00,A1556-1,Rustan's FS Makati,25,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,25,,"1,237.50",A1556-1,
,SO 00375,6/15/2023 8:00,T1920-1,Rustan's FS Makati,5,399.75,T1920-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,998.75",T1920-1,
,SO 00375,6/15/2023 8:00,T1921-1,Rustan's FS Makati,7,399.75,T1921-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"2,798.25",,
,SO 00374,6/15/2023 8:00,14226-1-102,Rustan's FS Cebu,1,299.75,14226-1-102,Floral,,Inventory Audit,,Fully Invoiced,sale,1,,299.75,,
,SO 00374,6/15/2023 8:00,21010-1-804,Rustan's FS Cebu,1,399.75,21010-1-804,Floral,,Inventory Audit,,Fully Invoiced,sale,1,,399.75,,
,SO 00374,6/15/2023 8:00,A1556-1,Rustan's FS Cebu,8,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,8,,396,A1556-1,
,SO 00374,6/15/2023 8:00,T1921-1,Rustan's FS Cebu,2,399.75,T1921-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,799.5,,
,SO 00373,6/15/2023 8:00,A1556-1,Rustan's FS Alabang Town Center,4,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,4,,198,A1556-1,
,SO 00373,6/15/2023 8:00,09195-1-801,Rustan's FS Alabang Town Center,2,"1,499.75",09195-1-801,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"2,999.50",09195-1-801,
,SO 00372,5/31/2023 8:00,T16266-1,Rustan's FS 1120 House,1,350,T16266-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,350,T16266-1,
,SO 00372,5/31/2023 8:00,A1556-1,Rustan's FS 1120 House,2,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,2,,99,A1556-1,
