Product,OH SKU,OH SRP,SMH SKU,SMH PRICE
M21058-19,203039228068,6999,203839136867,6999.75
M1625-19,203039107642,6999.75,203839136865,6999.75
1323092-13,0,0,203839240952,3999
1323078-13,0,0,203839245158,3999
124145-15,0,0,203839260697,12999
124144-15,0,0,203839260696,12999
124143-15,0,0,203839260695,12999
124165-8,0,0,203839260694,6999
124162-8,0,0,203839260693,6999
124129-10,0,0,203839260690,6999
124128-10,0,0,203839260689,6999
124124-8,0,0,203839260688,5999
124103-4,0,0,203839260692,2299
124102-4,0,0,203839260691,2299
1324246-12,0,0,203839260573,6999
1324244-12,0,0,203839260572,6999
124085-12,0,0,203839260571,11999
123364-15,0,0,203839260592,12999
123363-15,0,0,203839260591,12999
123368-15,0,0,203839260590,12999
123358-15,0,0,203839260589,12999
123357-15,0,0,203839260588,12999
123356-10,0,0,203839260594,9999
124020-12,0,0,203839258789,9999
124013-12,0,0,203839258791,9999
1324175-15,0,0,203839258784,6999
1324172-15,0,0,203839258783,6999
1324169-8,0,0,203839258786,2999
1324167-8,0,0,203839258785,2999
124031-15,0,0,203839258788,8999
124029-15,0,0,203839258787,8999
D1950-7G,0,0,203839186327,7999.75
D16508-5,0,0,203839229049,2000
D1993-12,0,0,203839229018,6000
W1957-16,0,0,203839229024,4500
W21137-8,0,0,203839231957,3500
W21134-8,0,0,203839231957,3500
W21133-8,0,0,203839231957,3500
W19215-16,0,0,203839231955,2800
W19218-16,0,0,203839231955,2800
W19217-16,0,0,203839231955,2800
122008-8,0,0,203839229056,3500
W22066-12,0,0,203839229052,5000
D16490-8,0,0,203839247481,39999
D19109-13,0,0,203839247479,29999
123074-3,0,0,203839243402,2799
123072-3,0,0,203839243400,2799
123040-20,0,0,203839222615,14999
122045-20,0,0,203839245141,17999
122044-20,0,0,203839245140,17999
WS19124-7,0,0,203839231950,2000
D22002-6,0,0,203839233513,4999
123218-10,0,0,203839233513,4999
123161-10,0,0,203839233512,4999
D16382-8,0,0,203839229017,2000
