id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,M1536-34,SMH Cubao,SMHCU/Stock,1
,M1625-19,SMH Cubao,SMHCU/Stock,1
,D21060-7N,SMH Cubao,SMHCU/Stock,1
,DS1952-20,SMH Cubao,SMHCU/Stock,1
,124015-12,SMH Cubao,SMHCU/Stock,1
,124017-12,SMH Cubao,SMHCU/Stock,1
,W21356-8,SMH Cubao,SMHCU/Stock,1
,124154-10,SMH Cubao,SMHCU/Stock,1
,1324152-15,SMH Cubao,SMHCU/Stock,1
,1324154-15,SMH Cubao,SMHCU/Stock,1
,1123122-1M,OH Megamall,OHMEG/Stock,1
,1223051-1,OH Megamall,OHMEG/Stock,1
,D20001-10,OH Davao,OHDV/Stock,1
,D21063-7G,OH Davao,OHDV/Stock,1
,824029-13,OH Davao,OHDV/Stock,1
,824033-13,OH Davao,OHDV/Stock,2
,824045-13,OH Davao,OHDV/Stock,2
,824049-13,OH Davao,OHDV/Stock,2
,M1536-34,OH Davao,OHDV/Stock,1
,M1625-12,OH Davao,OHDV/Stock,1
,M1653-12,OH Davao,OHDV/Stock,1
,124156-10,OH Davao,OHDV/Stock,1
,W22073-12,SMH Makati,SMHMK/Stock,1
,W22076-12,SMH Makati,SMHMK/Stock,1
,W22077-12,SMH Makati,SMHMK/Stock,1
,SW22084-12,SMH Makati,SMHMK/Stock,1
,W22127-12,SMH Makati,SMHMK/Stock,1
,1324179-8,SMH Makati,SMHMK/Stock,1
,1323104-13,SMH Makati,SMHMK/Stock,1
,1324152-15,SMH Makati,SMHMK/Stock,1
,W21738-12,SMH Makati,SMHMK/Stock,1
,1323090-13,SMH Makati,SMHMK/Stock,1
,1324085-12 ,SMH Makati,SMHMK/Stock,1
,1324593-5,SMH Makati,SMHMK/Stock,1
,0523912-7-7,SMH Makati,SMHMK/Stock,1
,0521616-7,SMH Makati,SMHMK/Stock,1
,W16211-10,SMH Makati,SMHMK/Stock,1
,W18353-9,SMH Makati,SMHMK/Stock,2
,0373116-6,SMH Makati,SMHMK/Stock,2
,0373117-6,SMH Makati,SMHMK/Stock,1
,RW15342-6,SMH Makati,SMHMK/Stock,1
,124113-4,OH Bacolod,OHBCD/Stock,1
,123324-12,SMH Mandurriao,SMHMD/Stock,1
,123402-7,SMH Mandurriao,SMHMD/Stock,1
,123403-7,SMH Mandurriao,SMHMD/Stock,1
,123411-12,SMH Mandurriao,SMHMD/Stock,1
,D21060-7N,SMH Mandurriao,SMHMD/Stock,1
,124015-12,SMH Mandurriao,SMHMD/Stock,1
,1324005-7,SMH Mandurriao,SMHMD/Stock,1
,824034-20,SMH Mandurriao,SMHMD/Stock,1
,824046-20,SMH Mandurriao,SMHMD/Stock,1
,824050-20,SMH Mandurriao,SMHMD/Stock,1
